"","x"
"1",114.746878470534
"2",105.929639948152
"3",107.162870739297
"4",118.839948223374
"5",83.4310112242281
"6",109.391535956688
"7",93.7388578064665
"8",146.501430725176
"9",87.2073404035683
"10",133.232137359678
"11",109.370816140135
"12",85.3278298945085
"13",113.908656898341
"14",98.6763110094224
"15",111.490437386285
"16",110.678422050281
"17",110.997417041138
"18",76.4451363269309
"19",107.225619541796
"20",67.734536475719
"21",126.917521822736
"22",135.992301205375
"23",76.0391020355623
"24",104.695655210386
"25",111.099164505618
